,fishpp,N,gflops_ratio,memory_ratio,img_size,bs,gflops,memory,patch_size,depth,embed_dim,num_heads,mask_levels,global_heads,mask_type,non_linear,non_linear_bias,global_proj_type,cls_token_pos,cls_token_type,layer_limit,layer_offset,metrics_test
0,False,577,1.0,1.0,384,1,15.518047104,0.5112977027893066,16,12,384,6,,,,,,,,,,,
1,True,577,0.8719731686155345,1.078863606054078,384,1,13.531320704,0.5516204833984375,16,12,384,6,3.0,1.0,dist,0.0,1.0,full,0.5,pos,8.0,0.0,True
2,True,577,0.9231839011693207,1.1072305550193096,384,1,14.326011264,0.566124439239502,16,12,384,6,3.0,3.0,dist,0.0,1.0,full,0.5,pos,8.0,0.0,True
3,True,577,0.8719731686155345,1.1072305550193096,384,1,13.531320704,0.566124439239502,16,12,384,6,3.0,1.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
4,True,577,0.9231839011693207,1.1072305550193096,384,1,14.326011264,0.566124439239502,16,12,384,6,3.0,3.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
5,False,2305,1.0,1.0,384,1,98.189327232,3.6831016540527344,8,12,384,6,,,,,,,,,,,
6,True,2305,0.815324547879269,1.2638099001245984,384,1,80.056168832,4.654740333557129,8,12,384,6,3.0,1.0,dist,0.0,1.0,full,0.5,pos,8.0,0.0,True
7,True,2305,0.8891947287275614,1.2697909794169464,384,1,87.309432192,4.676769256591797,8,12,384,6,3.0,3.0,dist,0.0,1.0,full,0.5,pos,8.0,0.0,True
8,True,2305,0.815324547879269,1.2697909794169464,384,1,80.056168832,4.676769256591797,8,12,384,6,3.0,1.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
9,True,2305,0.8891947287275614,1.2697909794169464,384,1,87.309432192,4.676769256591797,8,12,384,6,3.0,3.0,dist,0.0,1.0,full,0.5,sum,8.0,0.0,True
