,name,bs,image_size,patch_size,N,type,mem_gb_train,mem_gb_train_test,gflops,speed_train,speed_test,mode,prune_total,prune_k,attn_type
0,220527_100406_deit_tiny_patch16_224_gmm_0.3_0.3_bs256x1,256,224,16,197,gmm_0.3_0.3,0.0641937255859375,0.9029192924499512,1.15086048,0.0,524.2141630545634,metric_mm,0.3,0.3,gmm
1,220527_100319_deit_tiny_patch16_224_fiak_0.7_0.7_bs256x1,256,224,16,197,fiak_0.7_0.7,0.07025527954101562,0.7334957122802734,1.011044544,0.0,518.1665154140211,metric_mm,0.7,0.7,fiak
2,220527_100223_deit_tiny_patch16_224_fiak_0.7_0.2_bs256x1,256,224,16,197,fiak_0.7_0.2,0.07025527954101562,0.8403353691101074,1.142229696,0.0,516.791428994932,metric_mm,0.7,0.2,fiak
3,220527_100136_deit_tiny_patch16_224_gmm_0.3_0.3_bs256x1,256,224,16,197,gmm_0.3_0.3,0.0641937255859375,0.9544930458068848,1.088677824,0.0,502.27401122616385,metric_k,0.3,0.3,gmm
4,220527_100045_deit_tiny_patch16_224_fiak_0.7_0.7_bs256x1,256,224,16,197,fiak_0.7_0.7,0.07025527954101562,0.783012866973877,0.984265152,0.0,504.9343591652161,metric_k,0.7,0.7,fiak
5,220527_095958_deit_tiny_patch16_224_fiak_0.7_0.2_bs256x1,256,224,16,197,fiak_0.7_0.2,0.07025527954101562,0.8403353691101074,1.115450304,0.0,515.8724911043792,metric_k,0.7,0.2,fiak
6,220527_095907_deit_tiny_patch16_224_gmm_0.3_0.3_bs256x1,256,224,16,197,gmm_0.3_0.3,0.0641937255859375,0.9544930458068848,1.088677824,0.0,507.8020934276583,metric,0.3,0.3,gmm
7,220527_095821_deit_tiny_patch16_224_fiak_0.7_0.7_bs256x1,256,224,16,197,fiak_0.7_0.7,0.07025527954101562,0.783012866973877,0.984265152,0.0,511.8576650774121,metric,0.7,0.7,fiak
8,220527_095735_deit_tiny_patch16_224_fiak_0.7_0.2_bs256x1,256,224,16,197,fiak_0.7_0.2,0.07025527954101562,0.8403353691101074,1.115450304,0.0,509.5335424570585,metric,0.7,0.2,fiak
9,220527_095647_deit_tiny_patch16_224_base_bs256x1,256,224,16,197,base,0.06412506103515625,0.9210371971130372,1.2584112,0.0,518.5024356299241,metric,0.0,0.0,base
10,220527_094823_deit_tiny_patch16_224_gmm_bs256x1,256,224,16,197,gmm,11.857260704040527,11.857260704040527,1.168995264,504.2809191720216,516.3524068558127,train,0.0,0.0,gmm
11,220527_094716_deit_tiny_patch16_224_fiak_bs256x1,256,224,16,197,fiak,11.87106227874756,11.87106227874756,1.168995264,523.0324796162535,517.7880844714052,train,0.0,0.0,fiak
12,220527_094605_deit_tiny_patch16_224_base_bs256x1,256,224,16,197,base,7.959541320800781,7.959541320800781,1.2584112,582.1803537022594,508.0994629952944,train,0.0,0.0,base
