type,amount_total,amount_k,seq_len,flop,mem,type_full,level
fiak,0.5,0.0,128,0.9901954769985608,0.9958664570965796,fiak_0.5_0.0,model
fiak,0.5,0.0,256,0.981248,0.9834040456883344,fiak_0.5_0.0,model
fiak,0.5,0.0,512,0.964697,0.9411850491059428,fiak_0.5_0.0,model
fiak,0.5,0.0,1024,0.938004,0.8263671825103093,fiak_0.5_0.0,model
fiak,0.5,0.0,2048,0.901624,0.6595397057188152,fiak_0.5_0.0,model
fiak,0.5,0.0,4096,0.858932,0.5524325326806478,fiak_0.5_0.0,model
fiak,0.5,0.2,128,0.9790751693629016,0.9958503104446133,fiak_0.5_0.2,model
fiak,0.5,0.2,256,0.966523245019293,0.9833410517332934,fiak_0.5_0.2,model
fiak,0.5,0.2,512,0.9437620207680838,0.94117427976679,fiak_0.5_0.2,model
fiak,0.5,0.2,1024,0.9072644048504912,0.8263671825103093,fiak_0.5_0.2,model
fiak,0.5,0.2,2048,0.8575305705946372,0.6595397057188152,fiak_0.5_0.2,model
fiak,0.5,0.2,4096,0.7990812262560238,0.5524325326806478,fiak_0.5_0.2,model
