type,amount_total,amount_k,seq_len,flop,mem,type_full,level
fiak,0.5,0.0,128,0.9375138979422544,0.8754863813229572,fiak_0.5_0.0,block
fiak,0.5,0.0,256,0.899946990182948,0.7424547283702213,fiak_0.5_0.0,block
fiak,0.5,0.0,512,0.8570488943298162,0.6238060249816312,fiak_0.5_0.0,block
fiak,0.5,0.0,1024,0.8181232130379916,0.5571891891891891,fiak_0.5_0.0,block
fiak,0.5,0.0,2048,0.7893921013613695,0.5263918598600913,fiak_0.5_0.0,block
fiak,0.5,0.0,4096,0.7714372568898521,0.5125042771917818,fiak_0.5_0.0,block
fiak,0.5,0.2,128,0.835692188653112,0.875,fiak_0.5_0.2,block
fiak,0.5,0.2,256,0.7979905096024822,0.7414486921529175,fiak_0.5_0.2,block
fiak,0.5,0.2,512,0.7562747730832122,0.6232549595885378,fiak_0.5_0.2,block
fiak,0.5,0.2,1024,0.718029788694068,0.5570810810810811,fiak_0.5_0.2,block
fiak,0.5,0.2,2048,0.6892522984946704,0.5263918598600913,fiak_0.5_0.2,block
fiak,0.5,0.2,4096,0.6712654374271216,0.5153606974426113,fiak_0.5_0.2,block
