name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,test_time,test_memory,train_time,train_memory

softmax,0,256,8,32,128,0,0,0.08130860328674316,1328510464
softmax,0,256,8,32,256,0,0,0.051629066467285156,1475829248
softmax,0,256,8,32,512,0,0,0.0660245418548584,1858441728
softmax,0,256,8,32,1024,0,0,0.08075499534606934,3030811648
softmax,0,256,8,32,2048,0,0,0.17933154106140137,7015940096
softmax,0,256,8,32,4096,0,0,0.706899881362915,21414426112
softmax,0,512,8,64,128,0,0,0.05824398994445801,1758700544
softmax,0,512,8,64,256,0,0,0.0604400634765625,1922682368
softmax,0,512,8,64,512,0,0,0.07432699203491211,2342718464
softmax,0,512,8,64,1024,0,0,0.07065200805664062,3585977856
softmax,0,512,8,64,2048,0,0,0.08278846740722656,7717096448
softmax,0,512,8,64,4096,0,0,0.6836481094360352,22403099648
softmax,0,1024,8,128,128,0,0,0.10042786598205566,2719394816
softmax,0,1024,8,128,256,0,0,0.06805610656738281,2919977472
softmax,0,1024,8,128,512,0,0,0.06287741661071777,3411097600
softmax,0,1024,8,128,1024,0,0,0.07751607894897461,4800025088
softmax,0,1024,8,128,2048,0,0,0.09447383880615234,9219280896
softmax,0,1024,8,128,4096,0,0,0.7284786701202393,24483208192
softmax,0,2048,8,256,128,0,0,0.08115601539611816,5045394432
softmax,0,2048,8,256,256,0,0,0.06048846244812012,5317077504
softmax,0,2048,8,256,512,0,0,0.49417734146118164,5953443840
softmax,0,2048,8,256,1024,0,0,0.08818316459655762,7629830656
softmax,0,2048,8,256,2048,0,0,0.10741019248962402,12624105984
softmax,0,2048,8,256,4096,0,0,0.8187675476074219,29044077568
softmax,0,4096,8,512,128,0,0,0.0976400375366211,11303951360
softmax,0,4096,8,512,256,0,0,0.08224248886108398,11720375808
softmax,0,4096,8,512,512,0,0,0.09783792495727539,12645182464
softmax,0,4096,8,512,1024,0,0,0.18312335014343262,14898683392
softmax,0,4096,8,512,2048,0,0,0.15888237953186035,21048606720
gfish,2,256,8,32,128,0,0,0.06264138221740723,1340085760
gfish,2,256,8,32,256,0,0,0.06434774398803711,1546830848
gfish,2,256,8,32,512,0,0,0.09929132461547852,2176178688
gfish,2,256,8,32,1024,0,0,0.10979533195495605,4341084160
gfish,2,256,8,32,2048,0,0,0.12521147727966309,12328183296
gfish,2,512,8,64,128,0,0,0.11104631423950195,1748744192
gfish,2,512,8,64,256,0,0,0.07537508010864258,1968860672
gfish,2,512,8,64,512,0,0,0.08907818794250488,2627972096
gfish,2,512,8,64,1024,0,0,0.11986398696899414,4852698624
gfish,2,512,8,64,2048,0,0,0.14041805267333984,12958526464
gfish,2,1024,8,128,128,0,0,0.07809638977050781,2626672640
gfish,2,1024,8,128,256,0,0,0.08227300643920898,2878075392
gfish,2,1024,8,128,512,0,0,0.08006000518798828,3596713984
gfish,2,1024,8,128,1024,0,0,0.15701889991760254,5940916736
gfish,2,1024,8,128,2048,0,0,0.1419355869293213,14286041088
gfish,2,2048,8,256,128,0,0,0.0976097583770752,4637561856
gfish,2,2048,8,256,256,0,0,0.08005309104919434,4946993664
gfish,2,2048,8,256,512,0,0,0.13411760330200195,5785712640
gfish,2,2048,8,256,1024,0,0,0.11991357803344727,8368069120
gfish,2,2048,8,256,2048,0,0,0.24114131927490234,17187549696
gfish,2,4096,8,512,128,0,0,0.11278676986694336,9665533952
gfish,2,4096,8,512,256,0,0,0.1177818775177002,10094541312
gfish,2,4096,8,512,512,0,0,0.1238245964050293,11170342912
gfish,2,4096,8,512,1024,0,0,0.17678260803222656,14229150208
gfish,2,4096,8,512,2048,0,0,0.419903039932251,24002351104
fish,2,256,8,32,128,0,0,0.056157827377319336,1323283968
fish,2,256,8,32,256,0,0,0.06115436553955078,1480039936
fish,2,256,8,32,512,0,0,0.06917428970336914,1907718656
fish,2,256,8,32,1024,0,0,0.08747339248657227,3267317760
fish,2,256,8,32,2048,0,0,0.10715794563293457,8033191424
fish,2,256,8,32,4096,0,0,0.5500481128692627,25602455040
fish,2,512,8,64,128,0,0,0.06171369552612305,1731942400
fish,2,512,8,64,256,0,0,0.10619544982910156,1901727232
fish,2,512,8,64,512,0,0,0.08301162719726562,2359512064
fish,2,512,8,64,1024,0,0,0.0851747989654541,3779138048
fish,2,512,8,64,2048,0,0,0.11619687080383301,8663534592
fish,2,512,8,64,4096,0,0,0.5595052242279053,26471590912
fish,2,1024,8,128,128,0,0,0.0718531608581543,2609870848
fish,2,1024,8,128,256,0,0,0.07986211776733398,2810941952
fish,2,1024,8,128,512,0,0,0.07315182685852051,3328253952
fish,2,1024,8,128,1024,0,0,0.13007903099060059,4866944512
fish,2,1024,8,128,2048,0,0,0.1043553352355957,9991049216
fish,2,1024,8,128,4096,0,0,0.629002571105957,28274875392
fish,2,2048,8,256,128,0,0,0.0875234603881836,4620760064
fish,2,2048,8,256,256,0,0,0.10811209678649902,4879860224
fish,2,2048,8,256,512,0,0,0.08849167823791504,5517252608
fish,2,2048,8,256,1024,0,0,0.09162163734436035,7294302720
fish,2,2048,8,256,2048,0,0,0.1171119213104248,12892557824
fish,2,2048,8,256,4096,0,0,0.7908499240875244,32131101696
fish,2,4096,8,512,128,0,0,0.09066605567932129,9648732160
fish,2,4096,8,512,256,0,0,0.08916783332824707,10027407872
