,name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params,test_flops,train_flops
0,softmax,0,256,8,32,128,3.957419904,89833434,21024768,3.957419904,11.863951277863546
1,softmax,0,256,8,32,256,7.978391808,89833434,21024768,7.978391808,23.88742780790486
2,softmax,0,256,8,32,512,16.580983296,89833434,21024768,16.580983296,49.91686387751777
3,softmax,0,256,8,32,1024,37.112946432,89833434,21024768,37.112946432,111.51873736018767
4,softmax,0,256,8,32,2048,92.102153984,89833434,21024768,92.102153984,276.04021936626623
5,softmax,0,256,8,32,4096,252.815787008,89833434,21024768,252.815787008,759.4769714121467
6,softmax,0,256,8,32,8192,777.764311296,89833434,21024768,777.764311296,2335.9538101156845
7,softmax,0,512,8,64,128,8.988613632,187754970,50405376,8.988613632,26.961501753402196
8,softmax,0,512,8,64,256,18.104427264,187754970,50405376,18.104427264,54.28018081530872
9,softmax,0,512,8,64,512,37.456933888,187754970,50405376,37.456933888,111.98040633918862
10,softmax,0,512,8,64,1024,82.819027456,187754970,50405376,82.819027456,248.23219036432457
11,softmax,0,512,8,64,2048,201.400177152,187754970,50405376,201.400177152,602.1880573517815
12,softmax,0,512,8,64,4096,539.991312384,187754970,50405376,539.991312384,1617.8427502474701
13,softmax,0,512,8,64,8192,1624.248099328,187754970,50405376,1624.248099328,4860.155974054897
14,softmax,0,1024,8,128,128,22.27203456,408763866,134332416,22.27203456,66.69283858716118
15,softmax,0,1024,8,128,256,44.79846912,408763866,134332416,44.79846912,134.22941298702372
16,softmax,0,1024,8,128,512,92.09533696,408763866,134332416,92.09533696,277.2501317240137
17,softmax,0,1024,8,128,1024,199.98179328,408763866,134332416,199.98179328,600.6159155912453
18,softmax,0,1024,8,128,2048,471.51983104,408763866,134332416,471.51983104,1411.9132585054672
19,softmax,0,1024,8,128,4096,1217.42157824,408763866,134332416,1217.42157824,3657.777404129697
20,softmax,0,1024,8,128,8192,3522.7341056,408763866,134332416,3522.7341056,10546.16837082569
21,softmax,0,2048,8,256,128,61.724098304,951444954,402849792,61.724098304,184.7390999215557
22,softmax,0,2048,8,256,256,123.956676608,951444954,402849792,123.956676608,370.77265615811433
23,softmax,0,2048,8,256,512,252.913350656,951444954,402849792,252.913350656,759.2112881044366
24,softmax,0,2048,8,256,1024,537.418540032,951444954,402849792,537.418540032,1608.8612523907552
25,softmax,0,2048,8,256,2048,1217.917569024,951444954,402849792,1217.917569024,3663.919477848616
26,softmax,0,2048,8,256,4096,2984.598970368,951444954,402849792,2984.598970368,8971.74543812399
27,softmax,0,2048,8,256,8192,8146.579838976,951444954,402849792,8146.579838976,24504.038852269012
28,softmax,0,4096,8,512,128,192.167353344,2439460314,1342537728,192.167353344,574.5567429520945
29,softmax,0,4096,8,512,256,385.353906688,2439460314,1342537728,385.353906688,1155.9910265761268
30,softmax,0,4096,8,512,512,780.688608256,2439460314,1342537728,780.688608256,2338.836682123311
31,softmax,0,4096,8,512,1024,1624.592893952,2439460314,1342537728,1624.592893952,4866.804446142547
32,softmax,0,4096,8,512,2048,3535.346765824,2439460314,1342537728,3535.346765824,10639.899405953987
33,softmax,0,4096,8,512,4096,8167.581196288,2439460314,1342537728,8167.581196288,24538.25573063577
