name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
softmax,0,256,8,32,128,3.957419904,89833434,21024768
softmax,0,256,8,32,256,7.978391808,89833434,21024768
softmax,0,256,8,32,512,16.580983296,89833434,21024768
softmax,0,256,8,32,1024,37.112946432,89833434,21024768
softmax,0,256,8,32,2048,92.102153984,89833434,21024768
softmax,0,256,8,32,4096,252.815787008,89833434,21024768
softmax,0,256,8,32,8192,777.764311296,89833434,21024768
softmax,0,512,8,64,128,8.988613632,187754970,50405376
softmax,0,512,8,64,256,18.104427264,187754970,50405376
softmax,0,512,8,64,512,37.456933888,187754970,50405376
softmax,0,512,8,64,1024,82.819027456,187754970,50405376
softmax,0,512,8,64,2048,201.400177152,187754970,50405376
softmax,0,512,8,64,4096,539.991312384,187754970,50405376
softmax,0,512,8,64,8192,1624.248099328,187754970,50405376
softmax,0,1024,8,128,128,22.27203456,408763866,134332416
softmax,0,1024,8,128,256,44.79846912,408763866,134332416
softmax,0,1024,8,128,512,92.09533696,408763866,134332416
softmax,0,1024,8,128,1024,199.98179328,408763866,134332416
softmax,0,1024,8,128,2048,471.51983104,408763866,134332416
softmax,0,1024,8,128,4096,1217.42157824,408763866,134332416
softmax,0,1024,8,128,8192,3522.7341056,408763866,134332416
softmax,0,2048,8,256,128,61.724098304,951444954,402849792
softmax,0,2048,8,256,256,123.956676608,951444954,402849792
softmax,0,2048,8,256,512,252.913350656,951444954,402849792
softmax,0,2048,8,256,1024,537.418540032,951444954,402849792
softmax,0,2048,8,256,2048,1217.917569024,951444954,402849792
softmax,0,2048,8,256,4096,2984.598970368,951444954,402849792
softmax,0,2048,8,256,8192,8146.579838976,951444954,402849792
softmax,0,4096,8,512,128,192.167353344,2439460314,1342537728
softmax,0,4096,8,512,256,385.353906688,2439460314,1342537728
softmax,0,4096,8,512,512,780.688608256,2439460314,1342537728
softmax,0,4096,8,512,1024,1624.592893952,2439460314,1342537728
softmax,0,4096,8,512,2048,3535.346765824,2439460314,1342537728
softmax,0,4096,8,512,4096,8167.581196288,2439460314,1342537728
softmax,0,4096,8,512,8192,20691.206189056,2439460314,1342537728

hard_fish,4,256,8,32,128,3.798030784,88785370,19976704
hard_fish,4,256,8,32,256,7.609350784,88785370,19976704
hard_fish,4,256,8,32,512,15.641610112,88785370,19976704
hard_fish,4,256,8,32,1024,34.42807552,88785370,19976704
hard_fish,4,256,8,32,2048,83.518153984,88785370,19976704
hard_fish,4,256,8,32,4096,222.750754304,88785370,19976704
hard_fish,4,256,8,32,8192,666.094115072,88785370,19976704
hard_fish,4,512,8,64,128,8.393003328,183561178,46211584
hard_fish,4,512,8,64,256,16.795759872,183561178,46211584
hard_fish,4,512,8,64,512,34.370067968,183561178,46211584
hard_fish,4,512,8,64,1024,74.764131072,183561178,46211584
hard_fish,4,512,8,64,2048,177.773726208,183561178,46211584
hard_fish,4,512,8,64,4096,462.681377792,183561178,46211584
hard_fish,4,512,8,64,8192,1349.368099328,183561178,46211584
hard_fish,4,1024,8,128,128,19.99877952,391987162,117555712
hard_fish,4,1024,8,128,256,40.000336256,391987162,117555712
hard_fish,4,1024,8,128,512,81.491620096,391987162,117555712
hard_fish,4,1024,8,128,1024,174.754795008,391987162,117555712
hard_fish,4,1024,8,128,2048,404.94757632,391987162,117555712
hard_fish,4,1024,8,128,4096,1019.852036096,391987162,117555712
hard_fish,4,1024,8,128,8192,2870.214890496,391987162,117555712
hard_fish,4,2048,8,256,128,52.87407232,884336602,335741440
hard_fish,4,2048,8,256,256,105.736761856,884336602,335741440
hard_fish,4,2048,8,256,512,214.391030016,884336602,335741440
